x,varpi,defect,choi_trace_distance,ratio
0.0019273682314903857,1.0,8.672963964841608648559e-17,2.567220591353548178937e-16,0.337834777192592249
0.0020282396105570275,1.0,1.119387108496433719938e-16,3.313075635403430036606e-16,0.337869469846898629
0.0021343902273679447,1.0,1.444758101632265739872e-16,4.275621675954384234135e-16,0.337905972775239429
0.0022460963778498807,1.0,1.864713701334421185868e-16,5.517812429873539146638e-16,0.337944380138553916
0.002363648818244264,1.0,2.406752791442548365167e-16,7.120890808678260705676e-16,0.337984790963151441
0.0024873535219070244,1.0,3.106370292049622607682e-16,9.189702150599220537116e-16,0.338027309388593155
0.002617532475716496,1.0,4.009382648801355583298e-16,1.185955097132448414781e-15,0.338072044927817745
0.0027545245181624135,1.0,5.174929797508929544366e-16,1.530504961867424497021e-15,0.33811911274007308
0.002898686221297399,1.0,6.679350442405476454647e-16,1.975153746529958707707e-15,0.338168633917236453
0.0030503928188465525,1.0,8.621184781071221867113e-16,2.548981735576905334435e-15,0.338220735784127084
0.003210039182890904,1.0,1.112763278769395582555e-15,3.289517292894094330597e-15,0.338275552213435615
0.0033780408516668635,1.0,1.436289168965952228698e-15,4.245191034366451213718e-15,0.338333223955916234
0.0035548351111569653,1.0,1.853891961823404896546e-15,5.478502914431448119637e-15,0.338393898986507956
0.0037408821332870538,1.0,2.392933169045462482781e-15,7.070109312542368384505e-15,0.33845773286707193
0.003936666173692572,1.0,3.088734045896882099403e-15,9.124097356230503759111e-15,0.338524889126451671
0.00414269683217152,1.0,3.986891827673983307318e-15,1.177479133863991760702e-14,0.338595539658582276
0.004359510379104896,1.0,5.146270213791572780688e-15,1.519553625378928230805e-14,0.338669865139392962
0.004587671151297142,1.0,6.642860454704460453611e-15,1.961003272954536017619e-14,0.338748055463264329
0.004827773020869692,1.0,8.574766609629149682928e-15,2.530696443471182446523e-14,0.338830310199817226
0.005080440941031103,1.0,1.106864243668600769494e-14,3.265887427428863488806e-14,0.338916839071823804
0.005346332572747038,1.0,1.428800281886590367653e-14,4.214652343280298033137e-14,0.339007862455042625
0.0056261399965442434,1.0,1.844395590787791916023e-14,5.439032573110447976949e-14,0.33910361190078841
0.0059205915139040385,1.0,2.38090614093127214433e-14,7.019091224878776137808e-14,0.339204330682052334
0.006230453542934127,1.0,3.073522613697259919939e-14,9.058147795430979483737e-14,0.339310274363990343
