varpi,root1,root2,root3
0.395,6.6776861913075685,nan,nan
0.4,6.610478918876666,nan,nan
0.405,6.543721398525185,nan,nan
0.41000000000000003,6.4774235838378,nan,nan
0.41500000000000004,6.411594685260912,nan,nan
0.42,6.346243193374151,nan,nan
0.425,6.281376902008738,nan,nan
0.43,6.217002931162296,nan,nan
0.435,6.153127749663331,nan,nan
0.44,6.089757197542826,nan,nan
0.445,6.026896508074179,nan,nan
0.45,5.964550329445646,nan,nan
0.455,5.902722746033674,nan,nan
0.46,5.841417299247697,nan,nan
0.465,5.780637007920439,nan,nan
0.47000000000000003,5.720384388220252,nan,nan
0.47500000000000003,5.660661473064542,nan,nan
0.48,5.601469831015519,nan,nan
0.485,5.542810584641784,nan,nan
0.49,5.484684428330869,nan,nan
0.495,5.427091645539863,nan,nan
0.5,5.370032125472293,nan,nan
0.505,5.313505379171138,nan,nan
0.51,5.257510555018571,nan,nan
0.515,5.202046453634185,nan,nan
0.52,5.147111542163896,nan,nan
0.525,5.09270396795219,nan,nan
0.53,5.038821571590994,nan,nan
0.535,4.985461899337707,nan,nan
0.54,4.932622214895787,nan,nan
0.545,4.880299510549745,nan,nan
0.55,4.828490517646691,nan,nan
0.555,4.777191716414935,nan,nan
0.56,4.726399345109306,nan,nan
0.5650000000000001,4.676109408471248,nan,nan
0.5700000000000001,4.626317685489666,nan,nan
0.5750000000000001,4.577019736446735,nan,nan
0.58,4.528210909229654,nan,nan
0.585,4.479886344886658,nan,nan
0.59,4.432040982401908,nan,nan
0.595,4.3846695626594006,nan,nan
0.6,4.337766631561552,nan,nan
0.605,4.291326542262218,nan,nan
0.61,4.245343456467322,nan,nan
0.615,4.199811344749046,nan,nan
0.62,4.15472398581031,nan,nan
0.625,4.110074964626425,nan,nan
0.63,4.065857669379018,nan,nan
0.635,4.022065287083156,nan,nan
0.64,3.9786907977929844,nan,nan
0.645,3.935726967252196,nan,nan
0.65,3.8931663378332275,nan,nan
0.655,3.851001217583555,nan,nan
0.66,3.8092236671659707,nan,nan
0.665,3.7678254844437515,nan,nan
0.67,3.726798186417313,nan,nan
0.675,3.6861329881672344,nan,nan
0.68,3.6458207783954575,nan,nan
0.685,3.605852091080683,nan,nan
0.6900000000000001,3.5662170726720612,nan,nan
0.6950000000000001,3.5269054441332637,nan,nan
0.7000000000000001,3.4879064570110896,nan,nan
0.705,3.449208842534043,nan,nan
0.71,3.410800752535554,nan,nan
0.715,3.3726696907350284,nan,nan
0.72,3.334802432580432,nan,nan
0.725,3.297184931440081,nan,nan
0.73,3.2598022084012657,nan,nan
0.735,3.2226382222522276,nan,nan
0.74,3.1856757153424873,nan,nan
0.745,3.1488960298644866,nan,nan
0.75,3.1122788875790026,nan,nan
0.755,3.075802123980175,nan,nan
0.76,3.039441365162669,nan,nan
0.765,3.003169631922722,nan,nan
0.77,2.9669568504648636,nan,nan
0.775,2.9307692418444664,nan,nan
0.78,2.894568551952564,nan,nan
0.785,2.858311068871234,nan,nan
0.79,2.8219463522771,nan,nan
0.795,2.785415566099358,nan,nan
0.8,2.7486492538398406,nan,nan
0.805,2.7115643136004546,nan,nan
0.81,2.674059794828229,nan,nan
0.8150000000000001,2.636010909459199,nan,nan
0.8200000000000001,2.597260244453365,nan,nan
0.8250000000000001,2.557604409789788,nan,nan
0.8300000000000001,0.6350977591551086,1.1084339762859179,2.516772876338716
0.835,0.47175727861709577,1.2767115974375356,2.4743926404805108
0.84,0.36000870343831975,1.3959179299509918,2.4299251874562326
0.845,0.27030373436524535,1.4964224486721156,2.3825438047741585
0.85,0.1938161688256358,1.5884301922065216,2.330864178813604
0.855,0.12645379342576324,1.678678795242373,2.272235470249829
0.86,0.06591414312648829,1.7759359290382302,2.2001871145773984
0.865,0.010745746973424612,1.9133744692939472,2.0829924086418425
0.87,nan,nan,nan
0.875,nan,nan,nan
0.88,nan,nan,nan
0.885,nan,nan,nan
0.89,nan,nan,nan
0.895,nan,nan,nan
0.9,nan,nan,nan
0.905,nan,nan,nan
0.91,nan,nan,nan
0.915,nan,nan,nan
0.92,nan,nan,nan
0.925,nan,nan,nan
0.93,nan,nan,nan
0.935,nan,nan,nan
0.9400000000000001,nan,nan,nan
0.9450000000000001,nan,nan,nan
0.9500000000000001,nan,nan,nan
0.9550000000000001,nan,nan,nan
0.96,nan,nan,nan
0.965,nan,nan,nan
0.97,nan,nan,nan
0.975,nan,nan,nan
0.98,nan,nan,nan
0.985,nan,nan,nan
0.99,nan,nan,nan
0.995,nan,nan,nan
1.0,nan,nan,nan
1.0050000000000001,nan,nan,nan
1.01,nan,nan,nan
1.0150000000000001,nan,nan,nan
1.02,nan,nan,nan
1.025,nan,nan,nan
1.03,nan,nan,nan
1.035,nan,nan,nan
1.04,nan,nan,nan
1.045,nan,nan,nan
1.05,nan,nan,nan
1.055,nan,nan,nan
1.06,nan,nan,nan
1.065,nan,nan,nan
1.07,nan,nan,nan
1.075,nan,nan,nan
1.08,nan,nan,nan
1.085,nan,nan,nan
1.09,nan,nan,nan
1.095,nan,nan,nan
1.1,nan,nan,nan
1.105,nan,nan,nan
1.11,nan,nan,nan
1.115,nan,nan,nan
1.12,nan,nan,nan
1.125,nan,nan,nan
1.1300000000000001,nan,nan,nan
1.135,nan,nan,nan
1.1400000000000001,nan,nan,nan
1.145,nan,nan,nan
1.1500000000000001,nan,nan,nan
1.155,nan,nan,nan
1.16,nan,nan,nan
1.165,nan,nan,nan
1.17,nan,nan,nan
1.175,nan,nan,nan
1.18,nan,nan,nan
1.185,nan,nan,nan
1.19,nan,nan,nan
1.195,nan,nan,nan
1.2,nan,nan,nan
1.205,nan,nan,nan
1.21,nan,nan,nan
1.215,nan,nan,nan
1.22,nan,nan,nan
1.225,nan,nan,nan
1.23,nan,nan,nan
1.235,nan,nan,nan
1.24,nan,nan,nan
1.245,nan,nan,nan
1.25,nan,nan,nan
1.2550000000000001,nan,nan,nan
1.26,nan,nan,nan
1.2650000000000001,nan,nan,nan
1.27,nan,nan,nan
1.2750000000000001,nan,nan,nan
1.28,nan,nan,nan
1.285,nan,nan,nan
1.29,nan,nan,nan
1.295,nan,nan,nan
1.3,nan,nan,nan
1.305,nan,nan,nan
1.31,nan,nan,nan
1.315,nan,nan,nan
1.32,nan,nan,nan
1.325,nan,nan,nan
1.33,nan,nan,nan
1.335,nan,nan,nan
1.34,nan,nan,nan
1.345,nan,nan,nan
1.35,nan,nan,nan
1.355,nan,nan,nan
1.36,nan,nan,nan
1.365,nan,nan,nan
1.37,nan,nan,nan
1.375,nan,nan,nan
1.3800000000000001,nan,nan,nan
1.385,nan,nan,nan
1.3900000000000001,nan,nan,nan
1.395,nan,nan,nan
1.4000000000000001,nan,nan,nan
1.405,nan,nan,nan
1.41,nan,nan,nan
1.415,nan,nan,nan
1.42,nan,nan,nan
1.425,nan,nan,nan
1.43,nan,nan,nan
1.435,nan,nan,nan
1.44,nan,nan,nan
1.445,nan,nan,nan
1.45,nan,nan,nan
1.455,nan,nan,nan
1.46,nan,nan,nan
1.465,nan,nan,nan
1.47,nan,nan,nan
1.475,nan,nan,nan
1.48,nan,nan,nan
1.485,nan,nan,nan
1.49,nan,nan,nan
1.495,nan,nan,nan
1.5,nan,nan,nan
1.5050000000000001,nan,nan,nan
1.51,nan,nan,nan
1.5150000000000001,nan,nan,nan
1.52,nan,nan,nan
1.5250000000000001,nan,nan,nan
1.53,nan,nan,nan
1.5350000000000001,nan,nan,nan
1.54,nan,nan,nan
1.545,nan,nan,nan
1.55,nan,nan,nan
1.555,nan,nan,nan
1.56,nan,nan,nan
1.565,nan,nan,nan
1.57,nan,nan,nan
1.575,nan,nan,nan
1.58,nan,nan,nan
1.585,nan,nan,nan
1.59,nan,nan,nan
1.595,nan,nan,nan
1.6,nan,nan,nan
1.605,nan,nan,nan
1.61,nan,nan,nan
1.615,nan,nan,nan
1.62,nan,nan,nan
1.625,nan,nan,nan
1.6300000000000001,nan,nan,nan
1.635,1.2276843661867323,1.299176869364394,nan
1.6400000000000001,1.2067888726402825,1.311663926245587,nan
1.645,1.190219041941033,1.3198696613613856,nan
1.6500000000000001,1.1758119269028042,1.3259567854305732,nan
1.655,1.1627788265580845,1.330713762426903,nan
1.6600000000000001,1.1507251343323999,1.3345349614877793,nan
1.665,1.1394194261724389,1.3376515688657837,nan
1.67,1.1287119883308379,1.340213060220215,nan
1.675,1.1184992317647389,1.3423227862917269,nan
1.68,1.1087058698958654,1.3440557952123662,nan
1.685,1.099275088876264,1.3454686623070193,nan
1.69,1.090162720627409,1.3466053171186732,nan
1.695,1.0813335891539948,1.3475006971562755,nan
1.7,1.0727591139702406,1.3481831445274632,nan
1.705,1.06441567883765,1.3486760372573117,nan
1.71,1.0562834864996875,1.3489989346077458,nan
1.715,1.0483457331855528,1.3491684026255353,nan
1.72,1.0405879999750283,1.3491986228269541,nan
1.725,1.0329977951279472,1.3491018499156597,nan
1.73,1.0255642039294681,1.348888761982696,nan
1.735,1.018277616660129,1.3485687325796945,nan
1.74,1.0111295143549175,1.348150045001156,nan
1.745,1.0041122979950858,1.3476400631321017,nan
1.75,0.9972191508136875,1.3470453691802298,nan
1.7550000000000001,0.9904439261765035,1.3463718758309635,nan
